ward,first,last,website,twitter,photo
29,Chris,Taliaferro,http://www.29thward.com,http://twitter.com/chris29thward,images/alderpeople/29-Chris-Taliaferro.png
48,Harry,Osterman,http://harryosterman.org,http://twitter.com/48ward,images/alderpeople/48-Harry-Osterman.jpg
29,Zerlina,Smith,http://www.vote-zerlina.org/,,images/alderpeople/29-Zerlina-Smith.jpg
29,Brenda,Smith,,,
36,Gilbert,Villegas,http://www.gilbert2015.com,http://twitter.com/gilbert36ward,images/alderpeople/36-Gilbert-Villegas.jpeg
13,Marty,Quinn,http://madigan-quinn.com,,
28,Jason,Ervin,http://aldermanervin.com,http://twitter.com/AldermanErvin,images/alderpeople/28-Jason-Ervin.png
36,Alonso,Zaragoza,http://www.alonsozaragoza.com/,http://twitter.com/alonsoz,images/alderpeople/36-Alonso-Zaragoza.jpg
6,Roderick,Sawyer,http://6thwardchicago.com,http://twitter.com/6thWardChicago,images/alderpeople/6-Roderick-Sawyer.jpeg
43,Michele,Smith,http://ward43.org,,images/alderpeople/43-Michele-Smith.jpg
31,Rey,Suarez,http://ward31.com,,
19,Matt,O'Shea,http://19thwardmobile.com,http://twitter.com/mattoshea19,images/alderpeople/19-Matt-O'Shea.jpeg
45,John,Arena,http://arenafor45.com,http://twitter.com/JohnArena445,images/alderpeople/45-John-Arena.jpeg
41,Mary,O'Connor,http://ward41.com,,
26,Juanita,Irizarry,http://juanita26ward.com,http://twitter.com/Juanita26ward,images/alderpeople/26-Juanita-Irizarry.jpeg
31,Milly,Santiago,http://millysantiago.com/,,
4,Will,Burns,http://aldwillburns.org,http://twitter.com/Ald4_Willburns,images/alderpeople/4-Will-Burns.png
29,Larry,Andolino,https://www.facebook.com/pages/Larry-Andolino-for-Alderman-29th-Ward/668825769852950,,
33,Tim,Meegan,https://www.meegan4ward33.com,http://twitter.com/Meegan4ward33,images/alderpeople/33-Tim-Meegan.jpg
36,Omar,Aquino,http://omaraquino.com,http://twitter.com/OmarAquino36,images/alderpeople/36-Omar-Aquino.jpg
33,Annisa,Wanat,http://www.annisaforalderman.com/,http://twitter.com/a_wanat,images/alderpeople/33-Annisa-Wanat.jpg
37,Tara,Stamps,http://stampsfor37.com,http://twitter.com/stampstara,images/alderpeople/37-Tara-Stamps.jpg
31,Sean,Starr,http://www.seanstarr.org,http://twitter.com/SeanStarrfor31,images/alderpeople/31-Sean-Starr.jpg
