UID,State,Office Level,Electoral District,Office Name,Candidate Name,Candidate Party,Completed?,Incumbent,Phone,Mailing Address,Website,Email,Facebook URL,Twitter Name,Google Plus URL,Wiki Word,Youtube
MN00001,MN,Federal,MN,US Senate,Amy Klobuchar,Democratic-Farmer-Labor,,,,,http://www.amyklobuchar.com/,,https://www.facebook.com/amyklobuchar,amyklobuchar,,,
MN00002,MN,Federal,MN,US Senate,Kurt Bills,Republican,,,,,http://kurtbills.com/,,http://www.facebook.com/kurtbills,https://twitter.com/KurtBills,,,
MN00003,MN,Federal,MN,US Senate,Stephen Williams,Independence Party of America,,,,,http://prairiefireusa.com/,,http://www.facebook.com/pages/Stephen-Williams-for-U-S-Senate-2012/10549627959,,,,
MN00005,MN,Federal,MN,US Senate,Michael Cavlan,Minnesota Open Progressives,,,,,http://michaelcavlan.com/,,http://www.facebook.com/pages/Michael-Cavlan-for-US-Senate-2012/122110937819816,MichaelCavlan,,,
MN10005,MN,Federal,MN,US Senate,Tim Davis,Grassroots Party,,,,,,,http://www.facebook.com/TimDavisforSenator,,,,
MN00006,MN,Federal,MN Congressional District 01,US House of Representatives - District 01,Tim Walz,Democratic-Farmer-Labor,,,,,http://www.timwalz.org/,,https://www.facebook.com/TimWalz4Congress,Tim_Walz,,,
MN00007,MN,Federal,MN Congressional District 01,US House of Representatives - District 01,Allen Quist,Republican,,,,,http://www.quistforcongress.com/,,https://www.facebook.com/quistforcongress,,,,
MN00008,MN,Federal,MN Congressional District 02,US House of Representatives - District 02,Mike Obermueller,Democratic-Farmer-Labor,,,,,http://www.mikeobermueller.com/,,https://www.facebook.com/obermuellerforcongress,Obermueller2012,,,
MN00009,MN,Federal,MN Congressional District 02,US House of Representatives - District 02,John Kline,Republican,,,,,http://www.klineforcongress.com/,,https://www.facebook.com/pages/John-Kline/16149655054,Kline4Congress,,,
MN00010,MN,Federal,MN Congressional District 03,US House of Representatives - District 03,Brian Barnes,Democratic-Farmer-Labor,,,,,http://www.barnes.mn/,,http://www.facebook.com/barnesformn,https://twitter.com/barnesformn,,,
MN00011,MN,Federal,MN Congressional District 03,US House of Representatives - District 03,Erik Paulsen,Republican,,,,,http://paulsenforcongress.com/,,http://www.facebook.com/erik.paulsen.52?ref=search&sid=40401171.996255952..1,Erik_Paulsen,,,
MN00012,MN,Federal,MN Congressional District 04,US House of Representatives - District 04,Betty McCollum,Democratic-Farmer-Labor,,,,,http://www.mccollumforcongress.com/,,http://www.facebook.com/betty.mccollum1?fref=ts,BettyMcCollum04,,,
MN00013,MN,Federal,MN Congressional District 04,US House of Representatives - District 04,Tony Hernandez,Republican,,,,,http://www.hernandezusa.com/,,https://www.facebook.com/hernandezforcongress,HernandezUSA,,,
MN00014,MN,Federal,MN Congressional District 04,US House of Representatives - District 04,Steve Carlson,Independence Party of America,,,,,http://www.stevecarlsonforcongress2010.com/,,,SteveWCarlson,,,
MN00015,MN,Federal,MN Congressional District 05,US House of Representatives - District 05,Keith Ellison,Democratic-Farmer-Labor,,,,,http://www.keithellison.org/splash/,,https://www.facebook.com/KeithEllisonForCongress,EllisonCampaign,,,
MN00016,MN,Federal,MN Congressional District 05,US House of Representatives - District 05,Chris Fields,Republican,,,,,http://chrisfieldsforcongress.com/,,https://www.facebook.com/chrisfieldsforcongress,FieldsFor5thCD,,,
MN00017,MN,Federal,MN Congressional District 06,US House of Representatives - District 06,Jim Graves,Democratic-Farmer-Labor,,,,,http://jimgraves.com/,,https://www.facebook.com/JimGravesforCongress,Graves4Congress,,,
MN00018,MN,Federal,MN Congressional District 06,US House of Representatives - District 06,Michele Bachmann,Republican,,,,,http://www.michelebachmann.com/,,https://www.facebook.com/teambachmann,TeamBachmann,,,
MN00019,MN,Federal,MN Congressional District 07,US House of Representatives - District 07,Collin C. Peterson,Democratic-Farmer-Labor,,,,,http://www.petersonforcongress.com/splash,,http://www.facebook.com/collin.peterson.581,,,,
MN00020,MN,Federal,MN Congressional District 07,US House of Representatives - District 07,Lee Byberg,Republican,,,,,http://bybergforcongress.com/,,http://www.facebook.com/BybergforCongress,LeeByberg,,,
MN00021,MN,Federal,MN Congressional District 07,US House of Representatives - District 07,Adam Steele,Independence Partyof America,,,,,http://northernherald.finalhost.net/campsite.pdf,,,,,,
MN00022,MN,Federal,MN Congressional District 08,US House of Representatives - District 08,Richard Nolan,Democratic-Farmer-Labor,,,,,https://secure.actblue.com/contribute/page/nolan2012,,https://www.facebook.com/RickNolanForCongress?ref=ts,RickNolan2012,,,
MN00023,MN,Federal,MN Congressional District 08,US House of Representatives - District 08,Chip Cravaack,Republican,,,,,http://chipcravaack.com/,,https://www.facebook.com/cravaackforcongress,chipcravaack,,,
MN00024,MN,State Legislature - Upper,MN State Senate District 01,State Senate - District 01,LeRoy Stumpf,Democratic-Farmer-Labor,TRUE,,,,,,,,,,
