UID,State,Office Level,Electoral District,Office Name,Candidate Name,Candidate Party,Completed?,Incumbent,Phone,Mailing Address,Website,Email,Facebook URL,Twitter Name,Google Plus URL,Wiki Word,Youtube
MS00001,MS,Federal,MS,U.S. Senate,"Albert N. Gore, Jr. ",Democratic,,,,,,,,,,,
MS00002,MS,Federal,MS,U.S. Senate,Roger F. Wicker,Republican,,,,,http://wickerforsenate.com/,,https://www.facebook.com/SenatorWicker?ref=ts,rogerwicker,,,
MS00003,MS,Federal,MS,U.S. Senate,Thomas Cramer,Constitution,,,,,http://www.thomascramerforsenate.com/,,http://www.facebook.com/pages/Thomas-Cramer-for-U-S-Senate/284072071656604,Propertyman1,,,
MS00004,MS,Federal,MS,U.S. Senate,Shawn O'Hara,Reform,,,,,,,,,,,
MS00005,MS,Federal,MS Congressional District 04,U.S. House of Representatives - District 04,Steven M. Palazzo ,Republican,,,,,http://palazzoforcongress.com/,,http://www.facebook.com/pages/Steven-Palazzo/350605302834#!/pages/Steven-Palazzo/350605302834,StevenPalazzo,,,
MS00006,MS,Federal,MS Congressional District 04,U.S. House of Representatives - District 04,Robert W. Claunch ,Reform,,,,,,,,,,,
MS00007,MS,Federal,MS Congressional District 04,U.S. House of Representatives - District 04,Matt Moore,Democratic,,,,,http://www.mattmoore4ms.com/,,http://www.facebook.com/mattmoore4ms,mattmoore4ms,,,
MS00008,MS,Federal,MS Congressional District 04,U.S. House of Representatives - District 04,Ron Williams,Libertarian,,,,,http://www.ronwilliamsuscongress.com/,,,,,,
MS00009,MS,Federal,MS Congressional District 01,U.S. House of Representatives - District 01,Jim R. Bourland ,Constitution,,,,,,,,,,,
MS00010,MS,Federal,MS Congressional District 01,U.S. House of Representatives - District 01,Brad Morris,Democratic,,,,,https://bradmorrisforcongress.com/index.php,,http://www.facebook.com/BradMorrisforCongress,BradMorrisForMS,,,
MS00011,MS,Federal,MS Congressional District 01,U.S. House of Representatives - District 01,Alan Nunnelee,Republican,,,,,http://www.nunneleeforcongress.com/,,http://www.facebook.com/CongressmanNunnelee,RepAlanNunnelee,,,
MS00012,MS,Federal,MS Congressional District 01,U.S. House of Representatives - District 01,Danny Bedwell,Libertarian,,,,,http://dannybedwell.com/,,http://www.facebook.com/danny.bedwell.587,Pullet_Surprise,,,
MS00013,MS,Federal,MS Congressional District 01,U.S. House of Representatives - District 01,Chris Potts,Reform,,,,,,,,,,,
MS00014,MS,Federal,MS Congressional District 03,U.S. House of Representatives - District 03,"John ""Luke"" Pannell ",Reform,,,,,,,,,,,
MS00015,MS,Federal,MS Congressional District 03,U.S. House of Representatives - District 03,Gregg Harper,Republican,,,,,http://www.greggharper.ms/,,http://www.facebook.com/harpercampaign,HarperCampaign,,,
MS00016,MS,Federal,MS Congressional District 02,U.S. House of Representatives - District 02,Cobby Mondale Williams ,Independent,,,,,http://www.imwithcobby.com/iwc-wp2/,,http://www.facebook.com/cobbymondale.williams,cobbywilliams,,,
MS00017,MS,Federal,MS Congressional District 02,U.S. House of Representatives - District 02,Bennie G. Thompson ,Democratic,,,,,http://www.benniethompson.com/,,http://www.facebook.com/pages/Congressman-Bennie-G-Thompson/99445089418,BennieGThompson,,,
MS00018,MS,Federal,MS Congressional District 02,U.S. House of Representatives - District 02,Bill Marcy,Republican,,,,,http://www.billmarcyforcongress.com/,,http://www.facebook.com/pages/Bill-Marcy-for-Congress/131091683595164,,,,
MS00019,MS,Federal,MS Congressional District 02,U.S. House of Representatives - District 02,Lajena Williams,Reform,,,,,,,,,,,
MS00020,MS,Statewide,MS Judicial District 1,"Supreme Court Justice, District 1 Position 1","William L. (Bill) Waller,",Non Partisan,,,,,,,,,,,
MS00021,MS,Statewide,MS Judicial District 3,"Supreme Court Justice, District 3 Position 3",Richard (Flip) Phillips ,Non Partisan,,,,,,,,,,,
MS00022,MS,Statewide,MS Judicial District 1,"Supreme Court Justice, District 1 Position 2",Leslie D. King ,Non Partisan,,,,,,,,,,,
MS00023,MS,Statewide,MS Judicial District 3,"Supreme Court Justice, District 3 Position 3",Josiah Dennis Coleman ,Non Partisan,,,,,,,,,,,
MS00024,MS,Statewide,MS Judicial District 1,"Supreme Court Justice, District 1 Position 1",Earle S. Banks ,Non Partisan,,,,,,,,,,,
MS00025,MS,Statewide,MS Judicial District 2,"Supreme Court Justice, District 2 Position 3",Talmadge Braddock,Non Partisan,,,,,,,,,,,
MS00026,MS,Statewide,MS Judicial District 2,"Supreme Court Justice, District 2 Position 3",Mike Randolph,Non Partisan,,,,,,,,,,,
MS00027,MS,Statewide,MS Judicial District 2,"Court of Appeals Judge, District 2,  Position 2",Ceola James,Non Partisan,,,,,,,,,,,
MS00028,MS,Statewide,MS Judicial District 2,"Court of Appeals Judge, District 2,  Position 2",Ermea -EJ- Russell,Non Partisan,,,,,,,,,,,
