UID,State,Office Level,Electoral District,Office Name,Candidate Name,Candidate Party,Completed?,Incumbent,Phone,Mailing Address,Website,Email,Facebook URL,Twitter Name,Google Plus URL,Wiki Word,Youtube
SC00001,SC,Federal,SC Congressional District 01,U.S. Representative - District 01,Bobbie Rose,Democratic,Randy,FALSE,,,http://www.bobbieroseforcongress.com/,,https://www.facebook.com/BobbieRoseForCongress,bobbierose2012,,,
SC00002,SC,Federal,SC Congressional District 01,U.S. Representative - District 01,Tim Scott,Republican,Randy,TRUE,,,http://www.votetimscott.com/,,https://www.facebook.com/TimScottforCongress,RepTimScott,,,
SC00003,SC,Federal,SC Congressional District 02,U.S. Representative - District 02,Joe Wilson ,Republican,,FALSE,,,http://www.joewilsonforcongress.com/home/,,http://www.facebook.com/joewilsonforcongress,CongJoeWilson,,,
SC00004,SC,Federal,SC Congressional District 03,U.S. Representative - District 03,Brian Ryan B Doyle ,Democratic,Randy,FALSE,,,http://briandoyleforcongress.org/,,http://www.facebook.com/BrianDoyleForCongress,BrianDoyle4Cong,,,
SC00005,SC,Federal,SC Congressional District 03,U.S. Representative - District 03,Jeff Duncan,Republican,Randy,TRUE,,,http://www.jeffduncan.com/,,https://www.facebook.com/jeff.duncan.56863,Duncan4Congress,,,
SC00006,SC,Federal,SC Congressional District 04,U.S. Representative - District 04,Deb Morrow ,Democratic,Randy,FALSE,,,http://www.debforcongress.org/,,http://www.facebook.com/DebMorrowforCongress,debmorrow,,,
SC00007,SC,Federal,SC Congressional District 04,U.S. Representative - District 04,Trey Gowdy,Republican,Randy,TRUE,,,http://www.treygowdy.com/,,http://www.facebook.com/pages/Trey-Gowdy/143059759084016,tgowdy,,,
SC00008,SC,Federal,SC Congressional District 04,U.S. Representative - District 04,Jeff Sumerel,Green,Randy,FALSE,,,http://justrepresentation.org/justrepresentation.org/Welcome.html,,http://www.facebook.com/JustRepresentation,,,,
SC00009,SC,Federal,SC Congressional District 05,U.S. Representative - District 05,Joyce Knott,Democratic,Randy,FALSE,,,http://joyceknottforcongress.org/,,http://www.facebook.com/JoyceKnottForCongress,JoyceCKnott,,,
SC00010,SC,Federal,SC Congressional District 05,U.S. Representative - District 05,Mick Mulvaney,Republican,Randy,TRUE,,,http://www.mulvaneyforcongress.com/,,http://www.facebook.com/MickMulvaneyforCongress?ref=ts,MickMulvaney,,,
SC00011,SC,Federal,SC Congressional District 06,U.S. Representative - District 06,James E Jim Clyburn,Democratic,Randy,TRUE,,,http://www.clyburnforcongress.com/,,http://www.facebook.com/jameseclyburn,Clyburn,,,
SC00012,SC,Federal,SC Congressional District 07,U.S. Representative - District 07,Tom Rice ,Republican,,FALSE,,,http://votetomrice.com/,,https://www.facebook.com/TomRiceforCongress?ref=ts,TomRiceSC7,,,
SC00013,SC,Federal,SC Congressional District 07,U.S. Representative - District 07,Gloria Bromell Tinubu ,Democratic,,FALSE,,,http://www.gloria4congress.com/?doing_wp_cron=1350501620.3483800888061523437500,,https://www.facebook.com/pages/Gloria-Bromell-Tinubu-for-Congress/299654540080542?ref=ts,gloria4congress,,,
SC00014,SC,State Legislature - Upper,SC State Senate District 01,State Senator - District 01,Thomas C. Alexander,Republican,TRUE,,,,,,,,,,
SC00015,SC,State Legislature - Upper,SC State Senate District 02,State Senator - District 02,Larry A. Martin,Republican,TRUE,,,,,,http://www.facebook.com/larry.a.martin.3,,,,
SC00016,SC,State Legislature - Upper,SC State Senate District 03,State Senator - District 03,Kevin L. Bryant,Republican,TRUE,,,,,,,,,,
SC00017,SC,State Legislature - Upper,SC State Senate District 04,State Senator - District 04,Billy O'Dell,Republican,TRUE,,,,,,,,,,
SC00018,SC,State Legislature - Upper,SC State Senate District 05,State Senator - District 05,Tom Corbin,Republican,TRUE,,,,http://votecorbin.com/,,http://www.facebook.com/TomCorbinForSCSenateDistrict5,,,,
SC00019,SC,State Legislature - Upper,SC State Senate District 06,State Senator - District 06,Mike Fair,Republican,TRUE,,,,http://www.electmikefair.com/?page_id=2,,http://www.facebook.com/SenatorMikeFair,senatormikefai,,,
SC00020,SC,State Legislature - Upper,SC State Senate District 07,State Senator - District 07,Karl Allen,Democratic,TRUE,,,,http://karlallen4senate7.org/,,http://www.facebook.com/pages/Representative-Karl-Allen/112238215530990,RepKarlAllen,,,
SC00021,SC,State Legislature - Upper,SC State Senate District 07,State Senator - District 07,Jane Kizer,Republican,TRUE,,,,http://janekizer.com/,,http://www.facebook.com/JaneKizerForSenate,janekizer,,,
SC00022,SC,State Legislature - Upper,SC State Senate District 08,State Senator - District 08,Ross Turner,Republican,TRUE,,,,http://rossturnerforsenate.com/,,https://www.facebook.com/RossTurnerSenate,Turner4SCSenate,,,
SC00023,SC,State Legislature - Upper,SC State Senate District 09,State Senator - District 09,Danny Verdin,Republican,TRUE,,,,,,,,,,
