UID,State,Office Level,Electoral District,Office Name,Candidate Name,Candidate Party,Completed?,Incumbent,Phone,Mailing Address,Website,Email,Facebook URL,Twitter Name,Google Plus URL,Wiki Word,Youtube
NJ00028,NJ,County,Atlantic County,Board of Chosen Freeholders - At Large,Colin Bell,Democratic,,,,,,,,,,,
NJ00029,NJ ,County,Atlantic County,Board of Chosen Freeholders - At Large,Frank V. Giordano,Republican,,,,,,,,,,,
NJ00030,NJ ,County,Atlantic County District 2,Board of Chosen Freeholders - District 2,Stephen Dict,Democratic,,,,,,,,,,,
NJ00031,NJ,County,Atlantic County District 2,Board of Chosen Freeholders - District 2,Frank D. Formica,Republican ,,,,,,,,,,,
NJ00032,NJ,County,Atlantic County District 5,Board of Chosen Freeholders - District 5,Erica Polito,Democratic,,,,,,,,,,,
NJ00033,NJ,County,Atlantic County District 5,Board of Chosen Freeholders - District 5,James Bertino,Republican,,,,,,,,,,,
NJ00034,NJ ,County,Bergen County,Board of Chosen Freeholders,Steven A. Tanelli,Democratic,TRUE,,,,,,,,,,
NJ00035,NJ ,County,Bergen County,Board of Chosen Freeholders,Tracy Silna Zur,Democratic,TRUE,,,,http://www.bergendemocrats.com/,,http://www.facebook.com/TracySilnaZurForBergenCountyFreeholder,,,,
NJ00036,NJ ,County,Bergen County,Board of Chosen Freeholders,Robert G. Hermansen,Republican,TRUE,,,,,,http://www.facebook.com/pages/Rob-Hermansen/84918407999,,,,
NJ00037,NJ ,County,Bergen County,Board of Chosen Freeholders,Margaret Falahee Watkins,Republican,TRUE,,,,,,,,,,
NJ50007,NJ ,County,Bergen County,Board of Chosen Freeholders,Joseph Pezzillo,Green,TRUE,,,,,,,,,,
NJ50008,NJ ,County,Bergen County,Board of Chosen Freeholders,Edmund Fanning,Green,TRUE,,,,,,,,,,
NJ00038,NJ ,County,Burlington County,Freeholder,Aimee Belgard,Democratic,,,,,,,,,,,
NJ00039,NJ,County,Burlington County,Freeholder,Joanne Schwartz,Democratic,,,,,,,,,,,
NJ00040,NJ,County,Burlington County,Freeholder,Bruce Garganio,Republican,,,,,,,,,,,
NJ00041,NJ,County,Burlington County,Freeholder,Mary Ann O'Brien,Republican,,,,,,,,,,,
NJ00042,NJ,County,Camden County,Sheriff,Charles Billingham,Democratic,,,,,,,,,,,
NJ00043,NJ,County,Camden County,Sheriff,Christine Leone-Zwillinger,Republican,,,,,,,,,,,
NJ00044,NJ ,County,Camden County,Board of Chosen Freeholders,Jeffrey L. Nash,Democratic,,,,,,,,,,,
NJ00045,NJ ,County,Camden County,Board of Chosen Freeholders,Ian K. Leonard,Democratic,,,,,,,,,,,
NJ00046,NJ,County,Camden County,Board of Chosen Freeholders,Michelle A. Gentek,Democratic,,,,,,,,,,,
NJ00047,NJ,County,Camden County,Board of Chosen Freeholders,Diana Escobar-Wachter,Republican,,,,,,,,,,,
NJ00048,NJ,County,Camden County,Board of Chosen Freeholders,Ian Gill,Republican,,,,,,,,,,,
NJ00049,NJ ,County,Camden County,Board of Chosen Freeholders,Eugene Lawrence,Republican,,,,,,,,,,,
NJ00050,NJ,County,Cape May County,Surrogate,Jeffrey H. Sutherland,Democratic,,,,,,,,,,,
NJ00051,NJ,County,Cape May County,Surrogate,M. Susan Sheppard,Republican,,,,,,,,,,,
NJ00052,NJ,County,Cape May County,Freeholder,Walter Deegan,Democratic,,,,,,,,,,,
NJ00053,NJ,County,Cape May County,Freeholder,Leonard C. Desiderio,Republican,,,,,,,,,,,
NJ00054,NJ,County,Cumberland County,Board of Chosen Freeholders,Joseph Derella Jr. ,Democratic,,,,,,,,,,,
NJ00055,NJ,County,Cumberland County,Board of Chosen Freeholders,Douglas Long,Democratic,,,,,,,,,,,
NJ00056,NJ ,County,Cumberland County,Board of Chosen Freeholders,Mary L. Gruccio,Republican,,,,,,,,,,,
NJ00057,NJ ,County,Cumberland County,Board of Chosen Freeholders,Thomas L. Sheppard,Republican,,,,,,,,,,,
NJ00058,NJ,County,Essex County,Sheriff,Armando B. Fontoura,Democratic,TRUE,,,,,,,,,,
NJ00059,NJ,County,Essex County,Sheriff,Orlando Mendez,Republican,TRUE,,,,,,,,,,
NJ00060,NJ,County,Gloucester County,Sheriff,"Philip Dieser, III",Republican,,,,,,,,,,,
NJ00061,NJ ,County,Gloucester County,Sheriff,Carmel M. Morina,Democratic,,,,,,,,,,,
NJ00062,NJ,County,Gloucester County,County Clerk,Jeffrey Morris,Republican,,,,,,,,,,,
NJ00063,NJ,County,Gloucester County,County Clerk,James N. Hogan,Democratic,,,,,,,,,,,
NJ00064,NJ,County,Gloucester County,Surrogate,Carolyn D. Chapman,Republican,,,,,,,,,,,
NJ00065,NJ,County,Gloucester County,Surrogate,Helene M. Reed,Democratic,,,,,,,,,,,
NJ00066,NJ,County,Gloucester County,Freeholder,Margie Love,Republican,,,,,,,,,,,
NJ00067,NJ,County,Gloucester County,Freeholder,Tom Thistle,Republican,,,,,,,,,,,
NJ00068,NJ ,County,Gloucester County,Freeholder,Robert M. Damminger,Democratic,,,,,,,,,,,
NJ00069,NJ ,County,Gloucester County,Freeholder,Joe Chila,Democratic,,,,,,,,,,,
NJ00070,NJ,County,Hudson County,County Clerk,Barbara A. Netchert,Democratic,TRUE,,,,,,,,,,
NJ00071,NJ,County,Hunterdon County,Board of Chosen Freeholders,Matthew Holt,Republican,,,,,,,,,,,
NJ00072,NJ,County,Hunterdon County,Board of Chosen Freeholders,John King,Republican,,,,,,,,,,,
NJ00073,NJ ,County,Hunterdon County,Board of Chosen Freeholders,Andrea M. Bonette,Democratic,,,,,,,,,,,
NJ00074,NJ,County,Hunterdon County,Board of Chosen Freeholders,Robert Darmstadt,Democratic,,,,,,,,,,,
NJ00075,NJ,County,Mercer County,Vote for 3: Members of Board of Chosen Freeholders,Ann M. Cannon,Democratic,TRUE,,,,,,,,,,
