UID,State,Office Level,Electoral District,Office Name,Candidate Name,Candidate Party,Completed?,Incumbent,Phone,Mailing Address,Website,Email,Facebook URL,Twitter Name,Google Plus URL,Wiki Word,Youtube
VT00001,VT,Federal,VT,For US Senator,Pete Diamondstone,Liberty Union,Jenny,,,,,,,,,,
VT00002,VT,Federal,VT,For US Senator,Cris Ericson,United States Marijuana,Jenny,,,,http://crisericson.com/,,http://www.facebook.com/profile.php?id=100001499824825&fref=ts,,,,
VT00003,VT,Federal,VT,For US Senator,Laurel Laframboise,VoteKISS,Jenny,,,,www.votekiss.org,,,,,,
VT00004,VT,Federal,VT,For US Senator,John MacGovern,Republican,Jenny,,,,http://johnmacgovern.com/,,https://www.facebook.com/MacGovern2012?ref=ts,JohnMacgovern,,,
VT00005,VT,Federal,VT,For US Senator,Peter Moss,Peace and Prosperity,Jenny,,,,http://petermoss.org/,,,,,,
VT00006,VT,Federal,VT,For US Senator,Bernie Sanders,Independent,Jenny,,,,http://www.bernie.org/splash-page/,,https://www.facebook.com/friendsofbernie?ref=ts,FriendsOfBernie,,,
VT00007,VT,Federal,VT,For Representative to Congress,"James ""Sam"" Desrochers",Independent,Jenny,,,,http://www.vtcongress.com/default.html,,,,,,
VT00008,VT,Federal,VT,For Representative to Congress,Mark Donka,Republican,Jenny,,,,http://www.markdonkaforvt.com/,,http://www.facebook.com/MarkDonkaForCongress,,,,
VT00009,VT,Federal,VT,For Representative to Congress,Andre Laframboise,VoteKISS,Jenny,,,,,,,,,,
VT00010,VT,Federal,VT,For Representative to Congress,Jane Newton,Liberty Union,Jenny,,,,,,,,,,
VT00011,VT,Federal,VT,For Representative to Congress,Peter Welch,Democratic/Working Families,Jenny,,,,http://www.welchforcongress.com/,,http://www.facebook.com/welchforcongress,Team_Welch,,,
VT00012,VT,Statewide,VT,For Governor,Randy Brock,Republican,TRUE,,,,http://www.randybrock.com/tvbudget/,,http://www.facebook.com/RandyBrockVT,BrockforGov,,,
